KMeans_Cluster,RET,VOL,BETA,ROE,DY,PE
0,0.45330379822994404,0.021888683677442466,0.7538,0.17319550125,2.8773,10.934807809999999
1,0.028092377306834105,0.01979858692858016,0.425,0.20865152636363637,4.6981090909090915,12.602445890909092
2,2.2436174475955726,0.02940460754545925,1.4186,0.18000501000000002,2.81,64.82314160000014
3,0.1113252262716991,0.02352861275923171,0.5896497777777778,0.1081891991111111,2.608,21.45452283191111
