Ticker,CLOSE,RET,AVG_VOL,VOL,PE,PB,FPE,ROE,ROA,REV_G,EPS_G,GM,PM,OM,DE,CR,QR,BETA,MCAP,FCF,OCF,DY,Sector,CLOSE_missing,RET_missing,AVG_VOL_missing,VOL_missing,PE_missing,PB_missing,FPE_missing,ROE_missing,ROA_missing,REV_G_missing,EPS_G_missing,GM_missing,PM_missing,OM_missing,DE_missing,CR_missing,QR_missing,BETA_missing,MCAP_missing,FCF_missing,OCF_missing,DY_missing,Missing_Ratio,PC1,PC2,PC3
CII.VN,21900.0,0.8218849444431355,20934813.50806452,0.0316324739309666,93.45794,1.2568492,12.0008675,0.02888,0.0185,0.198,-0.087,0.54406,0.04098,0.38806,182.119,1.666,0.717,0.754,11826941132800.0,-2576552558592.0,-619721785344.0,2.84,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.0921389067319947,-0.2341248424289533,-2.5670184063226023
CTD.VN,69809.5234375,0.1202645070315704,1323105.1733870967,0.0251887719191873,10.384215,0.87560153,14.141798,0.0924,0.01682,0.281,1.155,0.038510002,0.02626,0.023670001,77.617,1.382,0.789,0.858,8319898484736.0,-2387245268992.0,-1193229942784.0,1.22,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3350199713332089,0.3681225904179055,-1.9130425396364044
HHV.VN,13100.0,0.1756409962028997,10172806.72983871,0.022003179583098,9.349885,0.52967644,12.0008675,0.05924,0.025829999,0.234,0.393,0.43873,0.15464,0.54755,141.742,0.706,0.639,0.786,6429203759104.0,704344686592.0,2014849531904.0,2.81,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.30348520717660254,-1.3919864539991256,-1.5049637468479427
VCG.VN,22850.0,0.4012785924547486,11251466.524193548,0.0216027818656745,4.991839436,1.1861408,6.634769,0.33854,0.0355,0.319,1.756,0.14113,0.23021,0.090959996,55.141,1.493,0.943,0.551,13446804406272.0,3724258574336.0,2344276197376.0,3.56,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3887207746328896,-0.15102555943401727,0.5779290074171131
BWE.VN,45580.3046875,0.0241725822063703,319567.40725806454,0.0152387972763647,10.952903,1.5670379,7.8145814,0.18269,0.054190002,0.12,0.5,0.43201,0.22715999,0.29696,103.93,1.158,0.582,-0.058,9676860162048.0,-645200150528.0,1239757619200.0,2.95,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9477733154200886,0.2168447765056616,-0.49180780777289235
NT2.VN,24400.0,0.248684876787723,1130492.7459677418,0.0192524306582566,5.200208,1.3138819,23.826048,0.28186,0.09724,0.522,4.779,0.16263,0.1463,0.0845,26.645,1.849,1.768,0.178,6621148741632.0,1597941088256.0,2032427991040.0,3.04,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.7124482786291613,1.217816392736829,0.501305899568439
REE.VN,52245.9609375,0.0696684211406044,935961.8870967742,0.0162970917113663,13.12336,1.378318,9.9551735,0.13587,0.049489997,0.195,0.168,0.3717,0.25273,0.36847,43.258,2.414,2.017,0.122,33200936058880.0,1595433156608.0,3392152535040.0,1.63,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.3347992905062238,0.14587542146076754,0.20449558936456894
GIL.VN,13600.0,-0.3477218225419664,631493.5645161291,0.025376697296959,13.7126755,0.49466133,12.0008675,0.01754,0.00656,0.566,2.586,0.23065001,0.04948,0.04656,37.842,6.331,1.567,0.637,24889603915776.0,-599752835072.0,-683875631104.0,2.81,Textile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.4095970665214774,0.6582681265393302,-1.4977191030760544
TCM.VN,26198.12109375,-0.3779021819415997,1864035.935483871,0.0187423740366779,11.061946,1.0486834,8.456973,0.10875,0.04395,-0.001,-0.161,0.15963,0.07038,0.074499995,43.706,1.85,1.167,0.364,2554483441664.0,202927243264.0,412654075904.0,4.39,Textile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.7152680701998562,0.3989334034370477,-1.2064458732356327
DHG.VN,97470.5546875,0.0474387088432883,20662.532258064515,0.0117430394098232,14.224751,2.795642,14.749263,0.20486,0.11326,0.003,0.186,0.48178002,0.1711,0.27495,46.271,5.459,3.814,0.329,12420876599296.0,688355344384.0,867410247680.0,5.26,Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8616509878919376,2.787587322283391,2.711181211856626
